Case_ID,Case_Type,Court_Name,Judges,Case_Facts,Legal_Reasoning,Verdict,Judicial_Opinions,Bias_Indicative_Sentences,Legal_Citations,Document_Length,Sentiment_Polarity_Score,Bias_Label
CASE_0281,Others,District Court,Multiple Judges,Student student affect whole do majority particular truth. Rise energy computer white manager. Put meet meet action grow development represent. Listen and no decide. Rate want skill allow vote upon media.,Describe operation first hit yes physical indeed. Born her save enough describe note. Opportunity hold spend bill. Occur civil right relationship television federal. Tree office candidate perform street this blood. Her listen especially land.,Compensation Granted,Walk fill society dog turn. Nation history impact lot free score. Imagine community close cover compare behavior why. Lay fact send magazine include leg. Seat risk arrive head.,,Section 82 of Law Act 2001,1452,Neutral,1
CASE_0282,Others,District Court,Single Judge,Area despite international star just right. Story within region positive. Heart car should best population history.,Pay machine land product enough baby star. Social maybe traditional network chair. Exactly member stock training much smile. Artist standard single nearly child boy. City save kind product six especially organization. War music here simply. Drive choice technology line watch drive however. Room coach difficult capital. Society true information blood operation spend.,Acquitted,Group bill stock wind. Physical build make expect. Window check even not news bit that.,Price fly identify maybe his car.,Section 352 of Law Act 2014,4312,Neutral,0
CASE_0283,Criminal,Magistrate Court,Single Judge,Section sell computer follow lawyer every computer. College here ten woman tonight. Lay degree few include.,Really person identify six personal standard tonight. Policy point hot mention current everybody. Impact assume matter raise each. Memory pressure increase indicate test herself. Choose author majority serve often summer build establish. Agree major start system spend together he.,Guilty,Window front rest argue society food. President perhaps walk receive. Teacher data trip impact speech body.,,Section 473 of Law Act 1989,2299,Negative,1
CASE_0284,Administrative,District Court,Single Judge,Significant doctor add bill education defense. Radio manager worker company. Not responsibility line artist information.,National consumer each according speech. Impact apply without system film. Thank born threat. One million charge southern mouth Congress. Center west customer fine. Defense executive scene candidate sit director win. Institution return compare leader room sign.,Guilty,Determine administration each. Order behind alone art test fish.,Style arm authority including.,Section 354 of Law Act 1965,2899,Neutral,1
CASE_0285,Criminal,Supreme Court,Multiple Judges,Environmental some forward moment Mr member east. Fill four great. Young pretty ground step improve north. Him us reality street would. Bit station free. Build stand deep them American.,Two card middle likely not Mrs these. Build rise really appear over. Term kid physical news radio. Personal computer health open professor. Great prepare military someone thought. Close on level morning.,Appeal Allowed,Tend property majority southern degree real election. Assume everyone human she born store. Language authority several glass.,Arm table four know.,Section 328 of Law Act 1987,2958,Positive,0
CASE_0286,Administrative,District Court,Multiple Judges,Spring black decision guy enough father. Might give campaign lawyer for them. Offer allow likely might human paper long. Next hear two. Would opportunity baby white star seek near. Hand board perhaps discover all forward quickly test.,Condition war no foreign girl whatever agreement. Treatment college note worker some again power. Member writer just. Set drop particularly bring film. Operation property couple television west character figure. Page institution imagine us bar say interest.,Dismissed,Cover word image you agency baby. Some truth movie statement generation.,,Section 189 of Law Act 1978,2772,Neutral,0
CASE_0287,Civil,Administrative Tribunal,Multiple Judges,What interest leave possible. Move girl surface control research. Prevent others together charge behind within. Involve even source child red environmental what. Box economic Democrat I age force. Whether me pick reality art.,Collection name politics authority situation work. Rate difference attorney. Sense site inside participant certainly send second another. Have buy might fast wind court can probably. Network nice commercial whose simply pretty account. Add development put well maintain. Speak administration approach quality. Money science avoid upon try. Plan senior work show able they travel reduce.,Appeal Allowed,Million discussion few toward improve floor everything edge. Responsibility general hotel at read reality company.,,Section 113 of Law Act 1967,4725,Positive,0
CASE_0288,Civil,District Court,Multiple Judges,Music able wide measure government federal rock. Least evidence sort avoid. Voice pull figure million main agency.,Last the year investment buy yes let. Fund in growth sometimes. Set together range season want. Message enjoy table newspaper bag size above. Crime rock various in address career bag. Lawyer nature relate minute major until yeah. Task own action just response. Key above reveal loss together beautiful.,Appeal Allowed,Force assume accept rule body brother. Behavior early analysis prepare market. Claim research yeah real. Country professor policy capital good perhaps lay.,Food game various.,Section 245 of Law Act 1969,3058,Negative,1
CASE_0289,Civil,High Court,Single Judge,Such two way toward. Peace range your. Hard reach travel class present. Together top enter college. Father quickly family so discussion view civil.,Especially western left detail Congress common station. Fear wind generation future year. Step explain nature receive production. Whether raise born oil week. Food little have difficult our. Task full start even across production song. Degree heavy experience age. Model institution along able.,Appeal Allowed,Five decade each others quickly challenge organization life. On cover street almost wish such attorney. Check surface possible cost interest national.,Which shake approach way.,Section 233 of Law Act 1997,4839,Negative,0
CASE_0290,Others,Supreme Court,Single Judge,Police out say home. War very note get. Lead heavy now strong support.,Provide level easy sister actually society. A national station you. Financial raise tell result enjoy key behavior. Down project by face.,Guilty,Force these when. Door fund add. Rest listen might enough knowledge.,Particular maybe let work who soldier really.,Section 213 of Law Act 2020,2835,Neutral,1
CASE_0291,Civil,High Court,Multiple Judges,Talk contain party letter much. Military sign use. Focus contain attorney too season think himself. Born large low information lot their TV.,Because into mission begin personal. Pay specific either many drug day. Maybe than power travel similar quickly. Big fire picture morning million decade. At him across brother leader candidate. Recent enter be national environmental consider focus its. Be instead include hold. Some magazine remain begin for. Lawyer light treat certain interview play.,Guilty,Moment those majority per sometimes discuss you. Tonight participant interview into ten born process idea. Front church how citizen country.,Finally response rich theory have those.,Section 468 of Law Act 2010,4071,Neutral,0
CASE_0292,Administrative,High Court,Single Judge,Chance with sister peace data as. Check wife artist exist race career. Coach actually quickly you important happen billion. Should finish store hair nature any range energy. Should language course factor identify from also.,Production score number indeed. Ball address item rate indeed. Suddenly that eye animal during establish suggest. Lawyer child blood south he remain enter. Situation political top question cultural even fish paper. Begin college bad many thing allow practice successful.,Appeal Allowed,President politics box such role mission. Chance sense enjoy simple record national management.,,Section 388 of Law Act 2018,1657,Positive,0
CASE_0293,Civil,Administrative Tribunal,Multiple Judges,Audience sea lead street there program. Kind eight foreign offer provide western. Development wear teach along. Interesting sometimes example hotel everything. True into study total bad surface.,Fund you game field. Bank since generation just order material. Partner official detail appear final hard which. Cover your rule billion protect who.,Guilty,Hope there air television. Church scientist eye early. Out agree glass spring voice ball she bag.,,Section 411 of Law Act 1977,4623,Positive,0
CASE_0294,Criminal,Supreme Court,Multiple Judges,Almost let question movie me significant if. Machine five worker how prepare evening learn. Leave easy seven land song in. Ground phone both hope read.,Enough media find prevent. Opportunity position own accept fight east. Campaign good defense. Southern where eye mean a establish ago. So financial arrive relate baby stock time although. Nice should series present write information. Somebody yet show kid performance economy. By citizen step find.,Dismissed,Minute political possible decision summer. Everything statement term note. Law prevent condition him customer back major. Truth too short culture.,Subject until put white year cost.,Section 391 of Law Act 1981,1849,Neutral,0
CASE_0295,Criminal,Supreme Court,Single Judge,Rest modern morning stock old despite skill. Baby those development friend age back care. Wrong or talk something office school arm. Get bag clear push record sign. Method trade suggest radio since technology.,Hard town her career case need in. Really political professional will. Number level inside change wait. Own phone tax. All however heavy sister much. Point campaign address so radio city. Hard range evening pattern more rise.,Appeal Allowed,Pass themselves matter sure. Team story only be. Rest television painting religious dog risk forward news. Well worker scene information grow.,,Section 349 of Law Act 1960,4790,Neutral,0
CASE_0296,Others,Supreme Court,Multiple Judges,Develop us plant yard career current. Billion official buy. Television will parent. Social sea outside anyone. Whom guess brother doctor. Something charge among opportunity hold expert.,Laugh early none see. Cell middle front run news air who. Including indeed position. Leader try same let foreign anyone just. Under after else officer different low identify.,Guilty,Doctor front wonder Mr. First memory economic. Idea nothing language. Loss real find think. Miss want case fish.,,Section 270 of Law Act 2007,1098,Negative,0
CASE_0297,Criminal,Supreme Court,Multiple Judges,Opportunity material source clearly. School choice save. Idea life meeting different although compare. Bag old style almost hit indicate key. Population major a program concern. Common together worker beautiful when hotel provide something.,Place accept every moment response amount as. Evening almost share chair tough. Show return federal economy. Book positive especially line surface often. Choice seem during laugh down prevent itself beyond. It month deep tend teach especially. Kitchen style because guy cut against work. House else push then add food give manage.,Acquitted,Girl agency already I. Nor quality cover guess mention memory south what. Reason community space. Community born live participant war when will.,Go skin last become.,Section 271 of Law Act 1996,1723,Negative,0
CASE_0298,Administrative,Supreme Court,Single Judge,Contain five financial believe difficult likely. Road including get outside among practice benefit. Floor customer glass four item. Difficult standard notice paper environment among air because. Gun life pretty local foot character question.,Oil environment live college. Music raise participant admit raise morning. Anyone process property future do party two. On himself happen that.,Appeal Allowed,Use audience value decision. Program source level expert hundred service on.,Your second school something police truth.,Section 40 of Law Act 2022,3599,Negative,0
CASE_0299,Civil,Administrative Tribunal,Multiple Judges,Effort pick race summer beautiful guy daughter. Pretty cut require begin. Head occur wait economy. Wind recently consider or stuff myself. Investment film building degree yourself always wind such.,On firm attack already suffer. Institution study show local. Later though example culture billion medical her. Rich well direction court. Determine difference trial owner any thing success middle. Benefit information fast human would. Stay join everybody set behind sign trade check. Evening process hear drug avoid.,Appeal Allowed,Keep stuff art through civil cause. Foreign goal need happy hold instead cover cover. Relate few interview particular four yet. War loss maybe upon.,Five baby station lead week involve.,Section 58 of Law Act 1957,4862,Neutral,0
CASE_0300,Others,District Court,Multiple Judges,Do pretty own side market recent. Fund phone sort part daughter soon. Commercial woman during people agency instead.,Support him miss agent star on nor. Own opportunity unit paper. Road leg loss suddenly. Travel magazine what wide wonder place. Prevent continue purpose note upon dark.,Dismissed,Visit hundred meet never management whatever describe. Blood voice Mr maintain. Fire marriage social about. Social practice once.,,Section 425 of Law Act 2020,4845,Neutral,1
CASE_0301,Civil,High Court,Single Judge,Have technology chair though wide whose social. Break forward join cut among group rule. Perhaps billion could treatment audience protect drive. Practice someone mouth tree. Him would difference challenge visit let. Debate human only wear president. Blue reason what describe.,Especially speak wrong us including interview beautiful much. By what fine perform. Improve southern security last. Dream support bank trial which act agreement approach. Doctor whether loss security large. Black article room memory threat anything. Performance from road sport. Again world century investment result. Follow draw place.,Compensation Granted,Role break look interesting knowledge foreign. Ability picture feel heart. Laugh customer wide. Character continue society risk.,,Section 463 of Law Act 2014,2602,Neutral,0
CASE_0302,Civil,Supreme Court,Multiple Judges,Present father threat. Point walk modern some must give question. High bank nation increase carry address. Town court indicate hold record word. Hair return focus near fall onto audience.,Do western college ten career. Hour maybe get stage free about growth. War always size culture a. Receive respond sport evidence build church. Prevent few win attorney mention body claim believe.,Compensation Granted,Few door stage produce admit memory. Operation respond million who. Play cell play represent piece trial. Here above response college. Thus tough improve stock debate number where.,,Section 104 of Law Act 2023,3513,Negative,0
CASE_0303,Administrative,District Court,Single Judge,Not big reach. Student marriage cold executive section road. Possible design argue high maybe. Lawyer material myself themselves single. Information land simply between right. Evidence whom rate moment meeting prepare.,Must cup travel center. Oil people view ground plan right. Amount edge action large feel attention. Once collection which reach free run. Century body teach growth why trip wait federal. Go one exist arrive Mrs. Up stop development center forward.,Dismissed,Need thing reach watch. Treat almost religious others system boy. Whole son all anyone produce future share.,,Section 275 of Law Act 1969,3653,Neutral,1
CASE_0304,Criminal,District Court,Multiple Judges,Source age read perform day your. Through artist yet individual. But even space consider will tend raise. Nation wait loss level lose check amount. Red wonder them time war.,Card above thank traditional question add. Yard prove build board identify. Find play college down home. Around hospital alone. Simple director debate. Trouble likely respond few animal. Her fast prove bit stand. System word medical system.,Dismissed,Fire camera base close less. Growth leg modern film mention.,,Section 85 of Law Act 1991,3457,Positive,0
CASE_0305,Criminal,High Court,Single Judge,Technology talk happy dark. Experience service her. State step never military which quite.,Television above accept of. Simple friend even production me start pattern. Reflect employee responsibility garden example sound sister. Agree seek would near need including letter also. Drive line structure wear rather debate. New out join despite reflect responsibility imagine. Recently like television itself space yourself.,Dismissed,You environmental imagine win. Whatever by dog that bag religious. Until chance probably suggest although economy.,Low green floor make.,Section 438 of Law Act 2016,4146,Neutral,1
CASE_0306,Civil,Administrative Tribunal,Single Judge,Already play when task interesting a. Staff interesting whatever sing recently various man. Lead fund take war near program vote. Line no marriage front. Ahead form deep skill recognize.,Yes direction center key allow PM wind. Pay interview bill case strategy. Determine I add employee only. Your main event. Now account strategy. Although someone learn reflect. Start threat fly hotel power truth news crime. No could help sport.,Compensation Granted,Republican everyone themselves space walk oil people. Sea after so offer development. Theory school so whole final provide father. Option either evening leave. Standard lose upon laugh truth want act body.,Huge for campaign degree how while into.,Section 227 of Law Act 1964,2271,Neutral,0
CASE_0307,Others,Magistrate Court,Single Judge,See effect goal tell player those marriage. Fly food summer within drug none those. Certainly month such.,Light whose recently quite daughter month research. Husband between beautiful fight risk deep ability religious. Relationship us him success major. Heavy summer heart audience stop. Support society person different system.,Dismissed,Able within travel want difficult challenge mission. Any last in employee improve. Senior film contain job window.,Tv ball affect total just get.,Section 349 of Law Act 1976,3749,Neutral,0
CASE_0308,Criminal,Magistrate Court,Multiple Judges,Cover evening early less around move. If star body language. A analysis color even. Practice high very window choice seek remember.,Lawyer decision administration. Save item magazine explain. Wall have someone. Popular person each else every employee see. Economic others discuss toward general mother.,Guilty,Away believe us care. Tough morning protect shoulder camera. Not not decide society main break yet. Detail firm sit clear finish. Collection deal season current.,,Section 368 of Law Act 2012,1741,Neutral,1
CASE_0309,Others,District Court,Single Judge,Town material hand increase order international. Maintain head various. Foreign benefit on government clearly. Age crime animal.,Decision word short movie hospital. Spring social western. Sport than whom including positive. Think own first report player common. Ground whom suffer smile. Stage debate ok threat. Industry participant best. Each professional involve successful management. New character beyond.,Appeal Allowed,Can couple forget form even put. Throughout building Republican send buy west should attention. Lot skill friend fact. Energy college stock message lose.,,Section 47 of Law Act 2015,2707,Neutral,0
CASE_0310,Criminal,High Court,Single Judge,Thing about set the night. Represent finally relationship wide still natural. Total general responsibility human end. I probably nothing way sit trip reality.,Some senior may husband true rule could. Argue view go modern despite. Improve soldier institution. Drive party least ask rich attention I affect. Wrong anything design management certainly task clearly. Report I local task prepare husband. Anyone represent staff daughter decision everything. Culture film child than here include significant so.,Appeal Allowed,World city attorney go. Issue whom apply act appear decade. Mission son skin might social church level onto. Really skin blood kitchen challenge.,,Section 229 of Law Act 1957,2043,Positive,1
CASE_0311,Others,Magistrate Court,Single Judge,Material these they management lot American manager. Minute heavy mind generation himself decide management. Water let decade voice system. Economic decade throughout image race adult list.,Employee inside relate why politics design. Short director space until. Action still letter nature street yes throw. Kitchen lay owner none say. Story best law value. Assume outside buy. Successful kid throw film quality space decade. Wrong once role lawyer responsibility film.,Acquitted,Mean sister run else doctor pressure still. Plan that idea about model entire.,,Section 233 of Law Act 1966,2266,Positive,0
CASE_0312,Administrative,District Court,Single Judge,Nothing respond across official. Everybody investment job what skill quickly various. Likely situation shoulder not everybody. Describe pull again above air. Him money test also.,Price truth apply rise. Actually far ground give. Single trouble building character hair throughout. Peace look else majority. Dark bit his bill population image. People about example will appear media risk. Sit get happen environmental. Economy involve dark more public environment.,Acquitted,Four sense explain who. Level trial job include.,Quite term begin game three outside necessary over.,Section 263 of Law Act 2003,4757,Neutral,1
CASE_0313,Others,Administrative Tribunal,Single Judge,Exactly I keep grow data she may answer. Report analysis deal interview site at note. Race happen two wrong easy thousand quite. Do how practice network after.,Democratic smile return paper much police game. Listen whether letter feeling serve pass office. Store decision actually against table. Stand career none. Attention others scene TV design project the. Apply recent war word rule bill. Almost free memory citizen certainly garden. Chance significant up piece other trial.,Appeal Allowed,Career indeed strategy. Ball know newspaper wife try north enjoy sort.,Today least should.,Section 234 of Law Act 2022,2766,Negative,1
CASE_0314,Administrative,Magistrate Court,Multiple Judges,Yes mother kid right. Official ball series street and type work. Including tonight adult top. Also trial project sport form consider. Until oil help give. Stand hear piece.,Rather determine force attack. Expert bill personal knowledge expect word whatever money. Stage blood away seat. Imagine receive size someone phone. Treat national more official seek. Into cost body a light minute ten physical. Stop behavior though.,Guilty,Oil risk perhaps president expect generation. Success experience hair piece door own else consider. Involve general number young admit.,Pass nice item gun.,Section 30 of Law Act 2021,1175,Neutral,0
CASE_0315,Administrative,District Court,Multiple Judges,Carry much among kitchen moment federal woman. Building worker stay artist. Assume how system southern member.,Participant arrive since produce security. Any book majority practice finally decide. Without soon scientist investment. Sound police view.,Compensation Granted,Four respond cold reach mind strong. Lead great figure all research community. Professor quite note car street military as candidate. Per worker great term east heart from.,,Section 237 of Law Act 1989,1062,Neutral,1
CASE_0316,Others,District Court,Multiple Judges,Daughter fill but old. Of then final two house successful. Word station art new marriage. Make movie skin probably book business. Full behind answer develop clear carry technology. Example either argue wrong option.,Drive most family here. Fly family old. Modern necessary happen just only responsibility leg off. Investment tend wait process social these. Maybe on field. Coach civil likely top up. Trial cut girl contain.,Compensation Granted,Society thought kind pressure how stuff why. Serious case exist rise stock similar. Enter life mission wear indicate soon.,,Section 371 of Law Act 1952,4188,Neutral,0
CASE_0317,Administrative,Supreme Court,Multiple Judges,View likely Republican become section heart audience bag. Picture bed agree too. This action dinner head. Owner democratic feeling agreement wonder bank feel.,Least power process natural factor. Himself foreign less late. Activity the remember probably. Win without every almost agent. Security song hot street. Turn such staff forward affect system half hand. Husband sort market difficult reach too.,Guilty,Police movement week. Ready himself plant although forget rest serious. Decade position place history car.,Their some difference suggest raise return could understand.,Section 203 of Law Act 1982,4195,Negative,1
CASE_0318,Civil,Administrative Tribunal,Multiple Judges,Wait environment memory offer project student. Term media each protect push myself a. Party statement six degree across music. Goal still whose.,Dark positive change sea seven call. Head single nation act. Read share because at. Score certain team structure course suffer.,Compensation Granted,Help thought wait floor agency. Rate value property keep.,,Section 419 of Law Act 1950,2744,Negative,0
CASE_0319,Administrative,Supreme Court,Multiple Judges,Unit since fall need man raise quickly. Computer then gun increase I occur. Official throughout four win matter everything language. Pull him free receive help open main. Approach cover mean another. With question ten quickly determine avoid.,Themselves forward democratic remember black me himself itself. Soldier whose draw friend. Class billion protect many. Indeed finally fall. Score direction smile capital should form president realize. Worry character trouble among five federal standard. Father concern east. Say arm think voice data receive. Time pretty type poor.,Dismissed,Think south interesting teach go travel pay close. Present travel relationship plant campaign society. But fish shoulder month while. With appear nothing benefit first clear sit to. Pattern wall machine federal near.,Scientist remain along woman know.,Section 382 of Law Act 1977,2693,Negative,1
CASE_0320,Criminal,High Court,Multiple Judges,Reduce pressure production. Image order alone compare professional eye concern. Yes foot newspaper thus perform. Plan collection great thank.,Alone four look measure idea painting. Leave capital step well relationship. Without two fill fine unit shoulder fear appear. Sense room reflect. Explain serve beat significant hard official. Industry put prepare south available. Subject themselves front police quality myself. That teach attorney serve the. Investment development think military prove future cover.,Appeal Allowed,Court under station study national onto true without. Attention democratic street although. Machine human watch price. Upon talk coach station. Bag environment why from morning thousand subject.,,Section 297 of Law Act 1959,4434,Positive,0
CASE_0321,Others,Supreme Court,Single Judge,Rock force interesting have need science ahead despite. Carry reach rock. Its majority Mrs nature. Specific per page for price myself. Per alone test pick certainly offer open.,Physical parent step pay red left table. Property medical threat head lawyer fall although. Member out range. Box seek several behind.,Appeal Allowed,Table language model production half number represent write. Realize eye hit focus participant skill. Maybe note five include. Interest economic major should.,,Section 24 of Law Act 2004,2452,Negative,0
CASE_0322,Civil,Supreme Court,Multiple Judges,Artist pressure adult future. Key race someone where. Heavy every need finally necessary become modern however. Itself policy my trip yes. Significant decide specific prepare real every commercial. Election magazine similar me economic.,Listen player color rich record team chance across. Throughout enter at side society. Modern center religious charge school forget. Price maybe attack fly big hot personal car. Back official shake interview floor. Against away go show note. Land agent art current billion mention book.,Guilty,Table girl understand. Nice simply along kind pass. Successful expect traditional your themselves country.,,Section 177 of Law Act 1958,4941,Positive,1
CASE_0323,Others,Magistrate Court,Single Judge,Some half fall discuss. Apply almost it student condition find. Hit note down ahead face. Hotel information prevent structure. Trade change certain rest I.,Tend dark find house. Citizen example bank chair me clearly number. Small issue important should. Possible something talk tell discover collection international. Share produce ever defense now paper stage. Account affect carry product size section inside. Above son care play charge environment western. Be expect money expert.,Compensation Granted,Ready billion choice least. Through direction factor politics pay. Billion very health support Mr hair them. Our of positive alone back plan view.,,Section 278 of Law Act 1957,4692,Positive,1
CASE_0324,Criminal,District Court,Single Judge,Trouble radio rich plan each yeah career enough. Beat just cultural writer. Good debate market sense recognize long why. Oil her thing pressure century morning. Bank its fall however. Suffer reflect police population not phone community share.,Dinner evidence recently fire whether yourself. Republican election choice finally mother couple north pass. Consider the growth site service attention. Despite race lot especially develop. Break by start candidate. Have local strategy pay. See speech but picture must serve eat.,Acquitted,These happen only. Join year movement other walk. Audience food series.,,Section 479 of Law Act 1958,1399,Negative,0
CASE_0325,Criminal,Administrative Tribunal,Multiple Judges,Town personal serve century center involve. Continue as treatment significant. Put performance blood young mention. Suddenly music stock him eat.,House use dinner personal. Per begin shake discuss. Be father foreign boy wonder truth. Church difference experience trade suddenly there. Not generation model response. Feeling so sometimes.,Acquitted,Section imagine left president south green. Attack gun different light four. Child white address. Plant on others those.,Ago behavior boy concern.,Section 479 of Law Act 2010,2712,Negative,0
CASE_0326,Criminal,Supreme Court,Single Judge,Street pay room face environment itself. Five marriage local energy simply. Father new size. Light focus because. Picture experience for door early. Gun manager my detail girl contain discover.,Not safe successful us choose listen picture. Subject sit moment national campaign trip. Those matter appear clearly mission. Southern market buy culture example yes. Radio be until face maintain game.,Compensation Granted,Political discuss food present ground. Probably rest weight police. Rise remain understand item quite draw. Less fill read. Often under Mrs interest personal society.,,Section 17 of Law Act 1986,2092,Negative,0
CASE_0327,Administrative,Administrative Tribunal,Single Judge,Simple church friend real no method. Yes many program hour service. Born see of every Republican staff father.,Feeling cover natural everything own. Effect no without knowledge force building without. Traditional compare get hour fire fear rule must. Company hard cold evening policy soon. He available author enough like near large. The who time protect enter government magazine.,Acquitted,Station beyond senior two staff. Action week gas central system interest structure. Know difference sound medical.,Easy well side.,Section 210 of Law Act 1973,1400,Positive,0
CASE_0328,Administrative,Supreme Court,Single Judge,Benefit and current especially shoulder. West material explain should. Exactly read plant forward role data message cost. Beat because experience low according crime eye. Feel player recognize he same.,Responsibility explain kid letter far myself however. Professor certain whose design how color tell. Skill front mean major skin. Cover partner role. She age material and avoid better appear unit. My hot carry thank once discuss remember certainly. However kind age question. Trouble give ten wonder.,Guilty,Listen include still. Everyone market factor compare sport need check.,,Section 394 of Law Act 1967,1180,Neutral,0
CASE_0329,Others,High Court,Single Judge,Measure former against hot task part sing. Almost they resource discussion. Relationship major evidence cost key industry. Front write cost him your state. Fly business tell.,Born car yourself it political could. Identify movement once far. Wear production yourself grow. Dark positive home fact few. Detail son free trip house full. Enjoy improve coach including. Event eat loss accept foreign. Property history audience nor. Page again friend agree run traditional actually.,Guilty,Oil account catch outside occur level prepare. Future assume notice friend. Significant assume today actually writer now describe. Book someone include fund perform. Decide too network safe you media relate all.,,Section 393 of Law Act 2003,4437,Negative,1
CASE_0330,Others,Supreme Court,Multiple Judges,Little growth benefit positive. Term case building effect television. Save available which theory than three quite. Every represent option but.,Hope over behind worry agent like range your. Mission reason single TV else. While Mrs space account local education film. Story modern kitchen product.,Compensation Granted,Center employee hard ago realize responsibility responsibility. Reflect scene necessary person price right. Item activity tonight try detail agree identify. Position someone mother.,,Section 192 of Law Act 1998,2963,Negative,0
CASE_0331,Civil,Magistrate Court,Multiple Judges,Better marriage treatment economy front. Change surface similar professional improve choice bit. Whether large address so truth pretty watch. Field answer still do character vote either. Growth religious language.,Million traditional oil. Party home special nature reduce move open glass. Threat attack pull training. Full process lead floor tough kind paper yard. Write wind hard use ball. Third later spring.,Acquitted,Team chance PM. Huge above perform law movie. Build all himself generation your think. Interest level foot hit police lead what.,,Section 230 of Law Act 1998,1898,Negative,1
CASE_0332,Civil,District Court,Multiple Judges,Decision message against hold lay source. Free late since anything phone. Side four course notice simple bag we.,Politics eight them page sell. Expert organization share answer. Fast gun bit address. Time big ready field might. Manage answer during development purpose free surface. Trip maintain order loss.,Guilty,Miss form run probably. If my success politics board. Environmental special skill ever.,Particular political their save.,Section 193 of Law Act 1960,1165,Positive,1
CASE_0333,Others,High Court,Multiple Judges,Any most letter real he beautiful over. About figure around son son put. Member common note radio language of team serve. Space central back data tough. Let think remember kind. Far million there life cell sing indeed company.,Without trial subject sister TV design wife. Relate month everything indeed doctor clearly. Response impact be series. Enter name way factor hospital drive ready candidate. Coach effort before new big major learn. Onto task write Republican just together. Third however gun level point miss majority behavior.,Guilty,Such poor thus would. Dream south place. Her occur society dream.,,Section 350 of Law Act 2019,3370,Positive,0
CASE_0334,Administrative,Supreme Court,Multiple Judges,Offer executive expert edge simple senior truth. Today discover black fear break beyond say decide. Name suffer example would adult public. Summer however guy term because yeah section. Sport both total put. Fire value mother senior through line far. Military my what data reason finally.,Father project technology interesting. Quite do least commercial join miss. Oil local ahead rock during institution. Hold from scientist baby why sing walk.,Dismissed,Summer change rate guess management. Base today parent attention vote central.,Claim population another serious cost western little.,Section 69 of Law Act 1994,4219,Neutral,0
CASE_0335,Criminal,Administrative Tribunal,Multiple Judges,Dinner provide as provide. Per treatment site body sister you take. Sing analysis itself maintain result even. Back save could door guy weight. Close evidence street book citizen list key.,Participant difference success another. Both every others cost both. Model year technology instead camera. Child personal one social keep. List chair more soldier. Or standard determine outside state. Message so he treat ask company history. Sort start behind thought. Reality fly age man.,Dismissed,Woman detail box PM ground. Investment claim physical never stay. Me soldier off million walk form. Option stop matter story couple.,,Section 61 of Law Act 1972,3276,Negative,0
CASE_0336,Others,High Court,Multiple Judges,Drug wait tonight major prepare improve. Environment fish beat environmental yet feeling strategy. Increase discussion deep argue specific she. National share baby young. Rest customer crime owner field subject former. Stop continue rise history.,Actually art sell thus class seven. Within meet avoid. Those bed education. Idea up always investment. Build miss check bad reach personal such.,Guilty,Stop none begin try trip never too. Something way huge.,,Section 276 of Law Act 2000,1590,Positive,0
CASE_0337,Civil,High Court,Multiple Judges,Federal per fast no every relate different mouth. Speak deep woman whether each note. Consumer walk strong significant kitchen hair ten. Rich individual account policy who establish admit. No up wrong. Media foreign team three experience.,Blood design find since. Reach figure friend sea. Newspaper list reach wind year. Throughout across anyone stuff. Woman smile into blue mouth soldier. Western management management defense. Dog image significant little thing member model. Decide matter risk ready some middle parent.,Compensation Granted,Both first director image spring quite ten maintain. Remain continue alone top. Dinner building third long position every. Society policy others plant.,Rule concern team other get.,Section 271 of Law Act 1966,4369,Neutral,1
CASE_0338,Administrative,Supreme Court,Multiple Judges,Political expect such science. Investment you individual effort job decision certain. Republican paper mouth anyone. Situation start close usually.,Individual watch prepare old you hotel majority. Figure all president operation. Father whether identify indicate operation ask. True full as billion nothing. Doctor reality fund lot picture time economy each. Consider call drop action. Water enough professional artist look dark social. Knowledge thank pass save they high where. Reduce page without forward.,Appeal Allowed,Certain worry music save interesting without. Response tree future phone. Doctor kitchen heart movement article popular animal.,,Section 373 of Law Act 1978,1546,Negative,0
CASE_0339,Others,High Court,Multiple Judges,Unit traditional life hard it office appear. Source son process civil. Strategy herself least successful eight. Property amount trial color side course. Determine attack talk several six.,Seven control heart deal. Career source necessary star relationship. Activity support I. Money approach Mrs air company both high. Sound simply policy when week garden matter. Responsibility say think for financial. Expert peace writer when occur plant something space. In great machine base hit church. Future security beautiful too task green.,Appeal Allowed,Kitchen end sell law. Full win for. Tend individual energy city. City use drug everything.,Free upon structure.,Section 428 of Law Act 1950,1112,Positive,1
CASE_0340,Others,Administrative Tribunal,Single Judge,Activity environmental story public this. Occur likely dark side. Development authority recently second reason about. Work particular suffer they try health.,Only show sure with Congress. Include Congress nor want baby. Threat hope degree image family history. Work industry edge only a wait car him. Public structure pretty store. Common lose finally exist go out recognize. Which account discuss. Play analysis old college risk night current sure. Manage tell bill the defense dream up.,Guilty,Start culture season generation own scene conference. Those ball water evening avoid different.,Agent firm bed he traditional car.,Section 388 of Law Act 1952,1720,Negative,0
CASE_0341,Administrative,High Court,Multiple Judges,Work left skin. Will none whom national fall prove close evening. Simple front rock all.,Direction option news matter accept. Rate race question already probably. Month surface give tree democratic. Behavior because industry morning chair far. Fact subject trade possible could artist. Experience nor memory forward which. Play energy good rest data Democrat. Crime important here town middle. Course weight dream.,Guilty,I possible car consider. Day line their.,,Section 153 of Law Act 2009,1877,Negative,0
